	assay_description	canonical_smiles	document_journal	document_year	molecule_chembl_id	relation	standard_relation	standard_type	standard_units	standard_value	type	units	value
0	Inhibition of cytochrome P450 3A4 of isolated guinea pig heart	Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1	Bioorg. Med. Chem. Lett.	2004.0	CHEMBL152968	=	=	IC50	nM	37000.0	IC50	uM	37.0
1	Inhibition of human cytochrome P450 3A4 as total cyclosporin oxidation (1 uM)	COc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1N1CCN(C)CC1	J. Med. Chem.	1999.0	CHEMBL292759	=	=	IC50	nM	6000.0	IC50	uM	6.0
2	Inhibition of cytochrome P450 3A4 of isolated guinea pig heart	Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4ccc(-c5ccccc5)cc4)CC3)ccc2s1	Bioorg. Med. Chem. Lett.	2004.0	CHEMBL153741	=	=	IC50	nM	7900.0	IC50	uM	7.9
3	Inhibition of cytochrome P450 3A4 of isolated guinea pig heart	CCn1c2ccccc2c2cc(NC(=O)CN3CCN(C[C@@H](O)COc4ccc5sc(C)nc5c4)CC3)ccc21	Bioorg. Med. Chem. Lett.	2004.0	CHEMBL150614	=	=	IC50	nM	39000.0	IC50	uM	39.0
4	Inhibition of human cytochrome P450 3A4 as total cyclosporin oxidation (1 uM)	COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1.Cl	J. Med. Chem.	1999.0	CHEMBL542139	=	=	IC50	nM	40000.0	IC50	uM	40.0
5	Inhibition of cytochrome P450 3A4 of isolated guinea pig heart	Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4c(C)cccc4C)CC3)ccc2s1	Bioorg. Med. Chem. Lett.	2004.0	CHEMBL154751	=	=	IC50	nM	23000.0	IC50	uM	23.0
6	Inhibition of Cytochrome P450 3A4 as BFC substrate	CC(C)C[C@H](C=O)NC(=O)[C@@H](NS(=O)(=O)c1ccc(F)cc1)C(C)C	J. Med. Chem.	2003.0	CHEMBL168471	=	=	IC50	nM	81000.0	IC50	uM	81.0
7	Inhibition of Cytochrome P450 3A4 as BQ substrate	CC(C)C[C@H](C=O)NC(=O)[C@@H](NS(=O)(=O)c1ccc(F)cc1)C(C)C	J. Med. Chem.	2003.0	CHEMBL168471	=	=	IC50	nM	531000.0	IC50	uM	531.0
8	In vitro inhibition of human liver microsome Cytochrome P450 3A4	O=C(NCC(F)(F)F)[C@@H]1CN(Cc2ccc(-c3cccnc3)o2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL3706623	=	=	IC50	nM	440.0	IC50	uM	0.44
9	In vitro inhibition of human liver microsome Cytochrome P450 3A4	CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL115	=	=	IC50	nM	150.0	IC50	uM	0.15
